,From,To,Regime,Mean,Vol,HMM Mean,HMM Vol
0,2014-06-04,2014-07-30,0,0.1477384624702312,0.05066454189202383,0.1120311887859122,0.05192599951174027
1,2014-07-31,2014-08-11,1,-0.7320974519371044,0.12843451936923553,0.011210041491961685,0.12222528907726714
2,2014-08-12,2014-09-26,0,0.2619710877426501,0.05152634680784684,0.1120311887859122,0.05192599951174027
3,2014-09-29,2014-10-22,1,0.07840602903744118,0.11026908385008168,0.011210041491961685,0.12222528907726714
4,2014-10-23,2014-12-02,0,0.2202048542941499,0.06036176392692889,0.1120311887859122,0.05192599951174027
5,2014-12-03,2014-12-18,1,-0.07259303710265684,0.1282807664151042,0.011210041491961685,0.12222528907726714
6,2014-12-19,2015-01-14,0,0.4262112527662943,0.04506998123929917,0.1120311887859122,0.05192599951174027
7,2015-01-15,2015-01-27,1,1.2184137117239657,0.14804710132116608,0.011210041491961685,0.12222528907726714
8,2015-01-28,2015-02-25,0,0.20671781874850845,0.05283696576971473,0.1120311887859122,0.05192599951174027
9,2015-02-26,2015-11-04,1,0.09294095824416915,0.10288798003809353,0.011210041491961685,0.12222528907726714
10,2015-11-05,2015-12-02,0,0.24430937534556696,0.04591354111470252,0.1120311887859122,0.05192599951174027
11,2015-12-03,2016-03-17,1,-0.28098631620528286,0.16407251370001813,0.011210041491961685,0.12222528907726714
12,2016-03-18,2016-05-31,0,0.177035221325236,0.06917142367825459,0.1120311887859122,0.05192599951174027
13,2016-06-01,2016-07-12,1,-0.10170590215642537,0.1423154819490362,0.011210041491961685,0.12222528907726714
14,2016-07-13,2016-12-07,0,0.17780391931525982,0.05835304210295596,0.1120311887859122,0.05192599951174027
15,2016-12-08,2017-01-12,1,0.22887468197448727,0.09853843905071448,0.011210041491961685,0.12222528907726714
16,2017-01-13,2018-11-14,0,0.04358457185714767,0.0510239976124537,0.1120311887859122,0.05192599951174027
17,2018-11-15,2018-11-29,1,-0.6763213636363636,0.10406140014328952,0.011210041491961685,0.12222528907726714
