Date,Coco Index,Coco Returns,Stock Index,Stock Returns,Bond Index,Bond Returns,Outlier Score
2016-06-24,137.94144393554794,-0.0305702935829797,84.28000000000017,-0.18023538566287323,198.88577307994007,0.011743914267465001,-202.75272210183695
2016-02-09,128.56534363617183,-0.033925326128853704,89.7100000000002,-0.04543519897850612,189.84770454808327,-0.012599474732903699,-88.14591981853505
2016-02-16,132.3281967849641,0.0279246131144723,97.79000000000023,-0.005188199389623449,190.96691375312682,0.00021551780781053998,-70.97251620549994
2016-02-11,126.06375180377545,-0.030408738337881,89.6500000000002,-0.06478197371166283,189.53338585891126,-0.00911429641196021,-70.94851140984
2016-02-04,137.0407021273982,-0.0170896880568938,99.90000000000025,0.040191586838817184,192.1311545138889,-0.00756038000643066,-52.37808545810728
2015-08-24,137.73668035507865,-0.0241386910764847,133.8200000000003,-0.05734009580163402,186.77567080482328,-0.0153111946978579,-43.365307801122455
2016-03-11,141.4525733263326,0.0234138938871419,115.0000000000002,0.06718634001484758,192.98478237969462,0.00174093900572899,-42.80642471643438
2017-04-24,163.5195413719768,-0.00123391730984071,134.39,0.07365982264120774,205.123490886318,-0.013073578080152,-37.512161331584
2016-02-08,133.08013046341352,-0.0212030680069505,93.98000000000022,-0.06357114388202445,192.270208177911,0.00038301530865622,-36.337741719392554
2016-02-10,130.01741742976418,0.011294441818641102,95.86000000000021,0.06855423029762564,191.27673875261567,0.00752726617334719,-22.477634428018895
2016-04-13,135.43471402653321,0.00925208072721401,103.9700000000002,0.06800205444273222,194.51818225442273,0.00653304556661097,-21.362924187290695
2016-02-03,139.42340462018728,-0.0182003581085802,96.04000000000023,-0.04132561389498868,193.59480480548916,-0.0089505181221655,-20.975163702886373
2015-01-23,137.56367403339655,0.016264308192282598,135.7000000000002,-0.008548257470592624,191.4519804146539,0.013439955294867401,-20.60473461955531
2015-12-03,148.0680509163601,-0.0181627541710165,133.5300000000003,-0.023760783740312874,195.480263300082,-0.0244464538502885,-20.05980205501607
2015-06-02,142.89685119168632,-0.0146285026533361,154.9100000000003,0.010897937875227637,191.52727521562986,-0.0172809910910467,-19.562918539089026
2015-08-25,139.93134111720696,0.0159337422425934,141.2200000000003,0.05529816170975921,187.6557774360509,0.00471210531561858,-19.22448265983401
2016-06-27,136.16583191972475,-0.0128722156674886,79.03000000000014,-0.06229235880398687,200.77000772551273,0.00947395390023859,-19.08263711427788
2015-06-23,142.50189720456578,0.0169573356378166,158.7900000000004,0.006656523392924996,189.93985829439097,0.012490708319069099,-16.845747877090137
2015-08-27,142.3975899411289,0.0174789618001359,144.2100000000003,0.03213569997137111,189.86179960684206,0.0120457204948883,-15.891698443122436
2014-12-16,123.89015004940502,-0.0111528464747465,132.8100000000001,0.022716771908208644,176.18494585814585,-0.00370034306502477,-15.819304653964032
